codlogradouro;nome_logradouro_concatenado;nome_oficial_logradouro;nome_logradouro_resumido;cod_indica_pavimentacao;desc_indica_pavimentacao;indica_corredor_transporte;indica_perimetral;codbairro;nomeBairro
2909;RUA ALTINO;Rua Altino;R. Altino;S;Via Pavimentada;;;434;CASA AMARELA
2909;RUA ALTINO;Rua Altino;R. Altino;S;Via Pavimentada;;;485;MONTEIRO
2917;RUA DES ALTINO;Rua Desembargador Altino;R. Des Altino;N;Via Não Pavimentada;;;736;VARZEA
2925;RUA EDGAR D'AMORIM;Rua Edgar D' Amorim;R. Edgar D`Amorim;S;Via Pavimentada;;;698;IPUTINGA
2933;RUA ALTO ALEGRE;Rua Alto Alegre;R. Alto Alegre;S;Via Pavimentada;;;531;MORRO DA CONCEICAO
2933;RUA ALTO ALEGRE;Rua Alto Alegre;R. Alto Alegre;S;Via Pavimentada;;;523;ALTO JOSE DO PINHO
2941;RUA ALTO DO AMPARO;Rua Alto do Amparo;R. Alto do Amparo;S;Via Pavimentada;;;370;BEBERIBE
2950;RUA ALTO ARAGUAIA;Rua Alto Araguaia;R. Alto Araguaia;S;Via Pavimentada;;;396;DOIS UNIDOS
2968;RUA ALTO DO BAMBUI;Rua Alto do Bambuí;R. Alto do Bambui;S;Via Pavimentada;;;540;ALTO JOSE BONIFACIO
2968;RUA ALTO DO BAMBUI;Rua Alto do Bambuí;R. Alto do Bambui;S;Via Pavimentada;;;558;VASCO DA GAMA
2976;RUA ALTO DA BELA VISTA;Rua Alto da Bela Vista;R. Alto da Bela Vista;S;Via Pavimentada;;;922;COQUEIRAL
2984;RUA ALTO DO BENJAMIM;Rua Alto do Benjamim;R. Alto do Benjamim;S;Via Pavimentada;;;361;PORTO DA MADEIRA
2984;RUA ALTO DO BENJAMIM;Rua Alto do Benjamim;R. Alto do Benjamim;S;Via Pavimentada;;;345;FUNDAO
2992;RUA ALTO DA BICA;Rua Alto da Bica;R. Alto da Bica;S;Via Pavimentada;;;400;PASSARINHO
3000;RUA ALTO BONITO;Rua Alto Bonito;R. Alto Bonito;S;Via Pavimentada;;;345;FUNDAO
3000;RUA ALTO BONITO;Rua Alto Bonito;R. Alto Bonito;S;Via Pavimentada;;;337;AGUA FRIA
3018;RUA ALTO BRASIL;Rua Alto Brasil;R. Alto Brasil;S;Via Pavimentada;;;388;LINHA DO TIRO
3018;RUA ALTO BRASIL;Rua Alto Brasil;R. Alto Brasil;S;Via Pavimentada;;;949;ALTO SANTA TEREZINHA
3182;RUA ALTO ITAUNA;Rua Alto Itaúna;R. Alto Itauna;P;Via Parcialmente Pavimentada;;;540;ALTO JOSE BONIFACIO
3301;RUA JORNALISTA GILBERTO OSORIO;Rua Jornalista Gilberto Osório;R. Jorn Gilberto Osorio;S;Via Pavimentada;;;698;IPUTINGA
3026;RUA ALTO DA BRASILEIRA;Rua Alto da Brasileira;R. Alto da Brasileira;S;Via Pavimentada;;;566;NOVA DESCOBERTA
3034;RUA ALTO BURITI;Rua Alto Buriti;R. Alto Buriti;S;Via Pavimentada;;;582;MACAXEIRA
3034;RUA ALTO BURITI;Rua Alto Buriti;R. Alto Buriti;S;Via Pavimentada;;;566;NOVA DESCOBERTA
3042;RUA DR ALTO CAETE;Rua Doutor Alto Caete;R. Dr Alto Caete;S;Via Pavimentada;;;582;MACAXEIRA
3042;RUA DR ALTO CAETE;Rua Doutor Alto Caete;R. Dr Alto Caete;S;Via Pavimentada;;;566;NOVA DESCOBERTA
3050;RUA ALTO CALCADO;Rua Alto Calçado;R. Alto Calcado;S;Via Pavimentada;;;949;ALTO SANTA TEREZINHA
3069;RUA ALTO DO CAROLA;Rua Alto do Carola;R. Alto do Carola;S;Via Pavimentada;;;558;VASCO DA GAMA
3077;RUA ALTO DO CEU;Rua Alto do Céu;R. Alto do Ceu;S;Via Pavimentada;;;922;COQUEIRAL
3093;RUA ALTO DA COLINA;Rua Alto da Colina;R. Alto da Colina;X;Não definida;;;345;FUNDAO
3107;RUA ALTO DA CONQUISTA;Rua Alto da Conquista;R. Alto da Conquista;P;Via Parcialmente Pavimentada;;;540;ALTO JOSE BONIFACIO
3115;RUA ALTO DO FORMOSO;Rua Alto do Formoso;R. Alto do Formoso;S;Via Pavimentada;;;582;MACAXEIRA
3115;RUA ALTO DO FORMOSO;Rua Alto do Formoso;R. Alto do Formoso;S;Via Pavimentada;;;620;CORREGO DO JENIPAPO
3123;RUA ALTO EGITO;Rua Alto Egito;R. Alto Egito;S;Via Pavimentada;;;361;PORTO DA MADEIRA
3123;RUA ALTO EGITO;Rua Alto Egito;R. Alto Egito;S;Via Pavimentada;;;345;FUNDAO
3131;RUA ALTO ERVAL NOVO;Rua Alto Erval Novo;R. Alto Erval Novo;P;Via Parcialmente Pavimentada;;;884;COHAB
3280;RUA ALTO DO MARACANA;Rua Alto do Maracanã;R. Alto do Maracana;P;Via Parcialmente Pavimentada;;;396;DOIS UNIDOS
3743;RUA ALVARO MOREYRA;Rua Álvaro Moreyra;R. Alvaro Moreyra;S;Via Pavimentada;;;213;IPSEP
3140;RUA ALTO DO EUCALIPTO;Rua Alto do Eucalipto;R. Alto do Eucalipto;S;Via Pavimentada;;;558;VASCO DA GAMA
3158;RUA ALTO DA FAVELA;Rua Alto da Favela;R. Alto da Favela;S;Via Pavimentada;;;558;VASCO DA GAMA
3158;RUA ALTO DA FAVELA;Rua Alto da Favela;R. Alto da Favela;S;Via Pavimentada;;;566;NOVA DESCOBERTA
3166;RUA ROMULO DA FONSECA GOMES;Rua Rômulo da Fonseca Gomes;R. Romulo da Fonseca Gomes;P;Via Parcialmente Pavimentada;;;698;IPUTINGA
3190;RUA ALTO JARDIM PROGRESSO;Rua Alto Jardim Progresso;R. Alto Jardim Progresso;S;Via Pavimentada;;;582;MACAXEIRA
3190;RUA ALTO JARDIM PROGRESSO;Rua Alto Jardim Progresso;R. Alto Jardim Progresso;S;Via Pavimentada;;;566;NOVA DESCOBERTA
3204;RUA ALTO JOSE BONIFACIO;Rua Alto José Bonifácio;R. Alto José Bonifacio;S;Via Pavimentada;;;540;ALTO JOSE BONIFACIO
3212;RUA ALTO DO JOAQUIM;Rua Alto do Joaquim;R. Alto do Joaquim;S;Via Pavimentada;;;612;BREJO DA GUABIRABA
3212;RUA ALTO DO JOAQUIM;Rua Alto do Joaquim;R. Alto do Joaquim;S;Via Pavimentada;;;566;NOVA DESCOBERTA
3220;RUA ALTO JOSE CORREIA;Rua Alto José Correia;R. Alto José Correia;S;Via Pavimentada;;;566;NOVA DESCOBERTA
3239;RUA ALTO JOSE IDALINO;Rua Alto José Idalino;R. Alto José Idalino;S;Via Pavimentada;;;612;BREJO DA GUABIRABA
3247;RUA ALTOLANDIA;Rua Altolândia;R. Altolandia;S;Via Pavimentada;;;337;AGUA FRIA
3255;RUA ALTO DA LOIRA;Rua Alto da Loira;R. Alto da Loira;S;Via Pavimentada;;;620;CORREGO DO JENIPAPO
3263;RUA ALTO LONGA;Rua Alto Longá;R. Alto Longa;S;Via Pavimentada;;;370;BEBERIBE
3263;RUA ALTO LONGA;Rua Alto Longá;R. Alto Longa;S;Via Pavimentada;;;337;AGUA FRIA
3271;RUA ALTO DA MANIPEBA;Rua Alto da Manipeba;R. Alto da Manipeba;S;Via Pavimentada;;;566;NOVA DESCOBERTA
3310;RUA ALTO DAS MORENAS;Rua Alto das Morenas;R. Alto das Morenas;S;Via Pavimentada;;;566;NOVA DESCOBERTA
3328;RUA ALTO NOVO MUNDO;Rua Alto Novo Mundo;R. Alto Novo Mundo;S;Via Pavimentada;;;558;VASCO DA GAMA
3336;RUA ALTO NOSSA SENHORA DE FATIMA;Rua Alto Nossa Senhora de Fátima;R. Alto Nossa Senhora de Fatima;S;Via Pavimentada;;;540;ALTO JOSE BONIFACIO
3336;RUA ALTO NOSSA SENHORA DE FATIMA;Rua Alto Nossa Senhora de Fátima;R. Alto Nossa Senhora de Fatima;S;Via Pavimentada;;;558;VASCO DA GAMA
3344;RUA ALTO DA SAUDADE;Rua Alto da Saudade;R. Alto da Saudade;S;Via Pavimentada;;;388;LINHA DO TIRO
3344;RUA ALTO DA SAUDADE;Rua Alto da Saudade;R. Alto da Saudade;S;Via Pavimentada;;;540;ALTO JOSE BONIFACIO
3352;RUA ALTO DO PARAISO;Rua Alto do Paraíso;R. Alto do Paraiso;S;Via Pavimentada;;;922;COQUEIRAL
3379;RUA ALTO PARANAIBA;Rua Alto Paranaiba;R. Alto Paranaiba;S;Via Pavimentada;;;884;COHAB
3387;RUA ALTO PIQUIRI;Rua Alto Piquiri;R. Alto Piquiri;S;Via Pavimentada;;;922;COQUEIRAL
3395;RUA ALTO DO PITU;Rua Alto do Pitú;R. Alto do Pitu;S;Via Pavimentada;;;620;CORREGO DO JENIPAPO
3417;RUA ALTO DAS PEDRINHAS;Rua Alto das Pedrinhas;R. Alto das Pedrinhas;S;Via Pavimentada;;;558;VASCO DA GAMA
3417;RUA ALTO DAS PEDRINHAS;Rua Alto das Pedrinhas;R. Alto das Pedrinhas;S;Via Pavimentada;;;566;NOVA DESCOBERTA
3425;RUA ALTO DO PEREIRINHA;Rua Alto do Pereirinha;R. Alto do Pereirinha;S;Via Pavimentada;;;337;AGUA FRIA
3433;RUA ALTO DA QUEIMADA;Rua Alto da Queimada;R. Alto da Queimada;S;Via Pavimentada;;;612;BREJO DA GUABIRABA
3433;RUA ALTO DA QUEIMADA;Rua Alto da Queimada;R. Alto da Queimada;S;Via Pavimentada;;;566;NOVA DESCOBERTA
3441;RUA DEPUTADO JOSE FRANCISCO DE MELO CAVALCANTI;Rua Deputado José Francisco de Melo Cavalcanti;R. Dep José Francisco de Melo Cavalcanti;P;Via Parcialmente Pavimentada;;;744;CAXANGA
3450;RUA ALTO DO REFUGIO;Rua Alto do Refúgio;R. Alto do Refugio;S;Via Pavimentada;;;612;BREJO DA GUABIRABA
3450;RUA ALTO DO REFUGIO;Rua Alto do Refúgio;R. Alto do Refugio;S;Via Pavimentada;;;574;BREJO DE BEBERIBE
3450;RUA ALTO DO REFUGIO;Rua Alto do Refúgio;R. Alto do Refugio;S;Via Pavimentada;;;566;NOVA DESCOBERTA
3468;RUA ALTO DO RESERVATORIO;Rua Alto do Reservatório;R. Alto do Reservatorio;S;Via Pavimentada;;;612;BREJO DA GUABIRABA
3468;RUA ALTO DO RESERVATORIO;Rua Alto do Reservatório;R. Alto do Reservatorio;S;Via Pavimentada;;;582;MACAXEIRA
3468;RUA ALTO DO RESERVATORIO;Rua Alto do Reservatório;R. Alto do Reservatorio;S;Via Pavimentada;;;566;NOVA DESCOBERTA
3468;RUA ALTO DO RESERVATORIO;Rua Alto do Reservatório;R. Alto do Reservatorio;S;Via Pavimentada;;;620;CORREGO DO JENIPAPO
3751;RUA ANTONIO RODRIGUES;Rua Antônio Rodrigues;R. Antônio Rodrigues;N;Via Não Pavimentada;;;698;IPUTINGA
3476;RUA ALTO SANTA HELENA;Rua Alto Santa Helena;R. Alto Santa Helena;S;Via Pavimentada;;;566;NOVA DESCOBERTA
3492;RUA ALTO SANTA LUZIA;Rua Alto Santa Luzia;R. Alto Santa Luzia;S;Via Pavimentada;;;582;MACAXEIRA
3492;RUA ALTO SANTA LUZIA;Rua Alto Santa Luzia;R. Alto Santa Luzia;S;Via Pavimentada;;;566;NOVA DESCOBERTA
3492;RUA ALTO SANTA LUZIA;Rua Alto Santa Luzia;R. Alto Santa Luzia;S;Via Pavimentada;;;620;CORREGO DO JENIPAPO
3506;RUA ALTO DA SERRINHA;Rua Alto da Serrinha;R. Alto da Serrinha;S;Via Pavimentada;;;388;LINHA DO TIRO
3506;RUA ALTO DA SERRINHA;Rua Alto da Serrinha;R. Alto da Serrinha;S;Via Pavimentada;;;540;ALTO JOSE BONIFACIO
3506;RUA ALTO DA SERRINHA;Rua Alto da Serrinha;R. Alto da Serrinha;S;Via Pavimentada;;;949;ALTO SANTA TEREZINHA
3514;RUA ALTO 13 DE MAIO;Rua Alto 13 de Maio;R. Alto 13 de Maio;P;Via Parcialmente Pavimentada;;;558;VASCO DA GAMA
3514;RUA ALTO 13 DE MAIO;Rua Alto 13 de Maio;R. Alto 13 de Maio;P;Via Parcialmente Pavimentada;;;566;NOVA DESCOBERTA
3760;RUA ALVARO TEIXEIRA DE MESQUITA;Rua Álvaro Teixeira de Mesquita;R. Alvaro Teixeira de Mesquita;S;Via Pavimentada;;;710;ENGENHO DO MEIO
3760;RUA ALVARO TEIXEIRA DE MESQUITA;Rua Álvaro Teixeira de Mesquita;R. Alvaro Teixeira de Mesquita;S;Via Pavimentada;;;698;IPUTINGA
3778;RUA ALVENOPOLIS;Rua Alvenópolis;R. Alvenopolis;N;Via Não Pavimentada;;;868;JARDIM SAO PAULO
3522;RUA ALTO DO TIRO;Rua Alto do Tiro;R. Alto do Tiro;P;Via Parcialmente Pavimentada;;;388;LINHA DO TIRO
3522;RUA ALTO DO TIRO;Rua Alto do Tiro;R. Alto do Tiro;P;Via Parcialmente Pavimentada;;;949;ALTO SANTA TEREZINHA
3549;RUA ALTO VERDE;Rua Alto Verde;R. Alto Verde;S;Via Pavimentada;;;396;DOIS UNIDOS
3557;RUA ALUISIO DE AZEVEDO;Rua Aluisio de Azevedo;R. Aluisio de Azevedo;S;Via Pavimentada;;;108;SANTO AMARO
3654;RUA ALVARES FLORENSE;Rua Álvares Florense;R. Alvares Florense;S;Via Pavimentada;;;566;NOVA DESCOBERTA
3654;RUA ALVARES FLORENSE;Rua Álvares Florense;R. Alvares Florense;S;Via Pavimentada;;;620;CORREGO DO JENIPAPO
3662;RUA ALVARO AMORIM;Rua Alvaro Amorim;R. Alvaro Amorim;P;Via Parcialmente Pavimentada;;;264;IMBIRIBEIRA
3670;RUA ENGENHEIRO ALVARO CELSO;Rua Engenheiro Álvaro Celso;R. Eng Alvaro Celso;S;Via Pavimentada;;;264;IMBIRIBEIRA
3689;RUA ALVARO CRUZ;Rua Álvaro Cruz;R. Alvaro Cruz;S;Via Pavimentada;;;876;BARRO
3697;RUA DR ALVARO FERRAZ;Rua Dr Álvaro Ferraz;R. Dr Alvaro Ferraz;S;Via Pavimentada;;;221;JORDAO
3697;RUA DR ALVARO FERRAZ;Rua Dr Álvaro Ferraz;R. Dr Alvaro Ferraz;S;Via Pavimentada;;;230;IBURA
3700;RUA ALVARO FRAGOSO;Rua Álvaro Fragoso;R. Alvaro Fragoso;S;Via Pavimentada;;;850;AREIAS
3719;RUA PROFESSOR ALVARO LIMA;Rua Professor Álvaro Lima;R. Prof Alvaro Lima;S;Via Pavimentada;;;477;POCO
3719;RUA PROFESSOR ALVARO LIMA;Rua Professor Álvaro Lima;R. Prof Alvaro Lima;S;Via Pavimentada;;;434;CASA AMARELA
3727;RUA ESCRITOR ALVARO LINS;Rua Escritor Álvaro Lins;R. Escritor Alvaro Lins;P;Via Parcialmente Pavimentada;;;809;BONGI
3727;RUA ESCRITOR ALVARO LINS;Rua Escritor Álvaro Lins;R. Escritor Alvaro Lins;P;Via Parcialmente Pavimentada;;;779;AFOGADOS
3735;RUA ALVARO MACEDO;Rua Alvaro Macedo;R. Alvaro Macedo;S;Via Pavimentada;;;477;POCO
3786;AV ENGENHEIRO ALVES DE SOUZA;Avenida Engenheiro Alves de Souza;Av Eng Alves de Souza;S;Via Pavimentada;;;264;IMBIRIBEIRA
3794;RUA ALVILANDIA;Rua Alvilandia;R. Alvilandia;S;Via Pavimentada;;;566;NOVA DESCOBERTA
3808;RUA ALVORADA;Rua Alvorada;R. Alvorada;N;Via Não Pavimentada;;;213;IPSEP
3816;RUA ALVORADA DO NORTE;Rua Alvorada do Norte;R. Alvorada do Norte;P;Via Parcialmente Pavimentada;;;264;IMBIRIBEIRA
3816;RUA ALVORADA DO NORTE;Rua Alvorada do Norte;R. Alvorada do Norte;P;Via Parcialmente Pavimentada;;;779;AFOGADOS
3956;RUA AMANDA;Rua Amanda;R. Amanda;S;Via Pavimentada;;;540;ALTO JOSE BONIFACIO
3964;RUA AMAPA;Rua Amapá;R. Amapa;S;Via Pavimentada;;;132;AFLITOS
3964;RUA AMAPA;Rua Amapá;R. Amapa;S;Via Pavimentada;;;175;ENCRUZILHADA
3972;RUA AMAPORA;Rua Amaporã;R. Amapora;S;Via Pavimentada;;;566;NOVA DESCOBERTA
3980;RUA AMARAJI;Rua Amaraji;R. Amaraji;S;Via Pavimentada;;;450;SANTANA
3999;RUA AMARANTE;Rua Amarante;R. Amarante;S;Via Pavimentada;;;710;ENGENHO DO MEIO
4014;RUA S D 0401;Rua S D 0401;R. S D 0401;S;Via Pavimentada;;;388;LINHA DO TIRO
4022;RUA DRA AMARILES BARBOSA DE AGUIAR;Rua Doutora Amariles Barbosa de Aguiar;R. Dra Amariles Barbosa de Aguiar;S;Via Pavimentada;;;647;MADALENA
4030;RUA SANTO AMARO;Rua Santo Amaro;R. Santo Amaro;P;Via Parcialmente Pavimentada;;;388;LINHA DO TIRO
4030;RUA SANTO AMARO;Rua Santo Amaro;R. Santo Amaro;P;Via Parcialmente Pavimentada;;;337;AGUA FRIA
4049;RUA AMARO ALBINO PIMENTEL;Rua Amaro Albino Pimentel;R. Amaro Albino Pimentel;P;Via Parcialmente Pavimentada;;;205;BOA VIAGEM
4057;RUA AMARO BEZERRA;Rua Amaro Bezerra;R. Amaro Bezerra;S;Via Pavimentada;;;140;DERBY
4057;RUA AMARO BEZERRA;Rua Amaro Bezerra;R. Amaro Bezerra;S;Via Pavimentada;;;167;GRACAS
4065;RUA CAPITAO AMARO CERQUEIRA;Rua Capitão Amaro Cerqueira;R. Cap Amaro Cerqueira;N;Via Não Pavimentada;;;850;AREIAS
4073;RUA AMARO CORDEIRO;Rua Amaro Cordeiro;R. Amaro Cordeiro;N;Via Não Pavimentada;;;850;AREIAS
4081;RUA AMARO COUTINHO;Rua Amaro Coutinho;R. Amaro Coutinho;S;Via Pavimentada;;;183;ROSARINHO
4081;RUA AMARO COUTINHO;Rua Amaro Coutinho;R. Amaro Coutinho;S;Via Pavimentada;;;175;ENCRUZILHADA
4111;RUA AMARO LOPES MADEIRA;Rua Amaro Lopes Madeira;R. Amaro Lopes Madeira;S;Via Pavimentada;;;710;ENGENHO DO MEIO
4120;RUA DR AMARO PEDROSA;Rua Dr Amaro Pedrosa;R. Dr Amaro Pedrosa;S;Via Pavimentada;;;27;SANTO ANTONIO
4138;RUA PASTOR AMARO DE SENA;Rua Pastor Amaro de Sena;R. Pastor Amaro de Sena;P;Via Parcialmente Pavimentada;;;264;IMBIRIBEIRA
4138;RUA PASTOR AMARO DE SENA;Rua Pastor Amaro de Sena;R. Pastor Amaro de Sena;P;Via Parcialmente Pavimentada;;;779;AFOGADOS
4146;RUA 28 DE JANEIRO;Rua 28 de Janeiro;R. 28 de Janeiro;X;Não definida;;;701;TORROES
4162;RUA AMAURI DE MEDEIROS;Rua Amauri de Medeiros;R. Amauri de Medeiros;S;Via Pavimentada;;;140;DERBY
4170;RUA AMAZONAS;Rua Amazonas;R. Amazonas;S;Via Pavimentada;;;248;PINA
4170;RUA AMAZONAS;Rua Amazonas;R. Amazonas;S;Via Pavimentada;;;205;BOA VIAGEM
4189;RUA AMBAR;Rua Âmbar;R. Ambar;S;Via Pavimentada;;;540;ALTO JOSE BONIFACIO
4197;RUA AMBORE;Rua Amboré;R. Ambore;S;Via Pavimentada;;;531;MORRO DA CONCEICAO
4448;RUA ANA ALBUQUERQUE LIMA;Rua Ana Albuquerque Lima;R. Ana Albuquerque Lima;S;Via Pavimentada;;;752;CURADO
4448;RUA ANA ALBUQUERQUE LIMA;Rua Ana Albuquerque Lima;R. Ana Albuquerque Lima;S;Via Pavimentada;;;914;TOTO
4219;RUA AMBROSIO MACHADO;Rua Ambrósio Machado;R. Ambrosio Machado;P;Via Parcialmente Pavimentada;CTUS;;698;IPUTINGA
4219;RUA AMBROSIO MACHADO;Rua Ambrósio Machado;R. Ambrosio Machado;P;Via Parcialmente Pavimentada;CTUS;;680;CORDEIRO
4227;RUA AMBROZINA CARNEIRO;Rua Ambrozina Carneiro;R. Ambrozina Carneiro;S;Via Pavimentada;;;450;SANTANA
4235;RUA MONSENHOR AMBROSINO LEITE;Rua Monsenhor Ambrosino Leite;R. Monsenhor Ambrosino Leite;S;Via Pavimentada;;;167;GRACAS
4251;RUA DRA AMELIA DE SIQUEIRA;Rua Doutora Amélia de Siqueira;R. Dra Amélia de Siqueira;N;Via Não Pavimentada;;;612;BREJO DA GUABIRABA
4260;RUA AMELIA XAVIER SAMPAIO;Rua Amélia Xavier Sampaio;R. Amelia Xavier Sampaio;P;Via Parcialmente Pavimentada;;;264;IMBIRIBEIRA
4278;RUA AMELIOPOLIS;Rua Ameliópolis;R. Ameliopolis;S;Via Pavimentada;;;493;ALTO DO MANDU
4286;RUA AMERICA;Rua América;R. America;S;Via Pavimentada;;;540;ALTO JOSE BONIFACIO
4499;RUA ANA CARNEIRO D'ALBUQUERQUE;Rua Ana Carneiro D`Albuquerque;R. Ana Carneiro D`Albuquerque;S;Via Pavimentada;;;914;TOTO
4294;RUA AMERICA CISNEIROS;Rua América Cisneiros;R. America Cisneiros;S;Via Pavimentada;;;337;AGUA FRIA
4308;RUA AMERICANA;Rua Americana;R. Americana;X;Não definida;;;558;VASCO DA GAMA
4316;RUA GENERAL AMERICANO FREIRE;Rua General Americano Freire;R. Gal Americano Freire;S;Via Pavimentada;;;205;BOA VIAGEM
4324;RUA AMERICO DE CAMPOS;Rua Américo de Campos;R. Americo de Campos;S;Via Pavimentada;;;213;IPSEP
4332;RUA CORONEL AMERICO FONTENELE;Rua Coronel Américo Fontenele;R. Cel Americo Fontenele;N;Via Não Pavimentada;;;809;BONGI
4340;RUA AMERICO VIRGILIO;Rua Américo Virgílio;R. Americo Virgilio;P;Via Parcialmente Pavimentada;;;736;VARZEA
4359;RUA AMSTERDAM;Rua Amsterdam;R. Amsterdam;N;Via Não Pavimentada;;;264;IMBIRIBEIRA
4375;RUA DA AMIZADE;Rua da Amizade;R. da Amizade;S;Via Pavimentada;;;167;GRACAS
4383;RUA AMOREIRA;Rua Amoreira;R. Amoreira;P;Via Parcialmente Pavimentada;;;949;ALTO SANTA TEREZINHA
4391;TRV DO AMORIM;Travessa do Amorim;Trv do Amorim;S;Via Pavimentada;;;19;RECIFE
4405;RUA AMOROSO COSTA;Rua Amoroso Costa;R. Amoroso Costa;P;Via Parcialmente Pavimentada;;;736;VARZEA
4413;RUA AMPARO;Rua Amparo;R. Amparo;N;Via Não Pavimentada;;;230;IBURA
4421;RUA I;Rua Ampére;R. Ampere;S;Via Pavimentada;;;426;BOMBA DO HEMETERIO
4421;RUA I;Rua Ampére;R. Ampere;S;Via Pavimentada;;;949;ALTO SANTA TEREZINHA
4430;RUA ANA;Rua Ana;R. Ana;S;Via Pavimentada;;;582;MACAXEIRA
4464;RUA DONA ANA AURORA;Rua Dona Ana Aurora;R. Dona Ana Aurora;P;Via Parcialmente Pavimentada;;;841;CACOTE
4464;RUA DONA ANA AURORA;Rua Dona Ana Aurora;R. Dona Ana Aurora;P;Via Parcialmente Pavimentada;;;850;AREIAS
4472;RUA ANNA BEZERRA;Rua Anna Bezerra;R. Anna Bezerra;P;Via Parcialmente Pavimentada;;;35;SAO JOSE
4480;RUA IRMA ANA BRIGIDA;Rua Irmã Ana Brígida;R. Irma Ana Brigida;S;Via Pavimentada;;;795;MANGUEIRA
4502;RUA ANA DIAS;Rua Ana Dias;R. Ana Dias;S;Via Pavimentada;;;558;VASCO DA GAMA
4510;RUA ANA LUCIA;Rua Ana Lúcia;R. Ana Lúcia;S;Via Pavimentada;;;310;CAMPINA DO BARRETO
4529;RUA ANA MAURICIA WANDERLEY;Rua Ana Maurícia Wanderley;R. Ana Mauricia Wanderley;S;Via Pavimentada;;;329;ARRUDA
4545;RUA ANA OTILIA DE FARIAS;Rua Ana Otília de Farias;R. Ana Otilia de Farias;S;Via Pavimentada;;;809;BONGI
4553;RUA ANA PIRES LUSTOSA;Rua Ana Pires Lustosa;R. Ana Pires Lustosa;P;Via Parcialmente Pavimentada;;;868;JARDIM SAO PAULO
4561;TRV INACIO MONTEIRO;Travessa Inácio Monteiro;Trv Inacio Monteiro;S;Via Pavimentada;;;701;TORROES
4570;RUA DONA ANA XAVIER;Rua Dona Ana Xavier;R. Dona Ana Xavier;S;Via Pavimentada;;;434;CASA AMARELA
4588;RUA ANADIA;Rua Anadia;R. Anadia;S;Via Pavimentada;;;884;COHAB
4596;RUA BARAO DE ANADIA;Rua Barão de Anadia;R. Barão de Anadia;P;Via Parcialmente Pavimentada;;;868;JARDIM SAO PAULO
4600;RUA ANAGE;Rua Anage;R. Anage;S;Via Pavimentada;;;868;JARDIM SAO PAULO
4618;2TR ALTO DA SERRINHA;2ª Travessa Alto da Serrinha;2Tr Alto da Serrinha;S;Via Pavimentada;;;540;ALTO JOSE BONIFACIO
4626;1SB DA IMBAUBA;1ª Subida da Imbaúba;1Sb da Imbauba;S;Via Pavimentada;;;558;VASCO DA GAMA
4626;1SB DA IMBAUBA;1ª Subida da Imbaúba;1Sb da Imbauba;S;Via Pavimentada;;;566;NOVA DESCOBERTA
4634;RUA ANALANDIA;Rua Analândia;R. Analandia;S;Via Pavimentada;;;809;BONGI
4642;TRV BELA VISTA;Travessa Bela Vista;Trv Bela Vista;S;Via Pavimentada;;;540;ALTO JOSE BONIFACIO
4650;RUA ANANIAS;Rua Ananias;R. Ananias;X;Não definida;;;337;AGUA FRIA
4669;RUA ANANIAS CATANHO;Rua Ananias Catanho;R. Ananias Catanho;S;Via Pavimentada;;;914;TOTO
4669;RUA ANANIAS CATANHO;Rua Ananias Catanho;R. Ananias Catanho;S;Via Pavimentada;;;922;COQUEIRAL
4677;RUA ANAPOLIS;Rua Anápolis;R. Anapolis;S;Via Pavimentada;;;892;TEJIPIO
4685;RUA SANTO ANASTACIO;Rua Santo Anastácio;R. Santo Anastacio;S;Via Pavimentada;;;434;CASA AMARELA
4693;RUA ANAUA;Rua Anauá;R. Anaua;P;Via Parcialmente Pavimentada;;;680;CORDEIRO
4707;RUA JOSE CARLOS BURLI(CINEASTA);Rua José Carlos Burli (Cineasta);R. José Carlos Burli (Cineasta);N;Via Não Pavimentada;;;698;IPUTINGA
4715;RUA ANCHIETA;Rua Anchieta;R. Anchieta;S;Via Pavimentada;;;108;SANTO AMARO
4723;RUA PADRE ANCHIETA;Rua Padre Anchieta;R. Padre Anchieta;S;Via Pavimentada;;;647;MADALENA
4731;RUA ANDALUZA;Rua Andaluza;R. Andaluza;N;Via Não Pavimentada;;;779;AFOGADOS
4740;RUA GERSON BRITO DOS SANTOS;Rua Gerson Brito dos Santos;R. Gerson Brito Dos Santos;S;Via Pavimentada;;;698;IPUTINGA
4758;RUA ANDIRA;Rua Andira;R. Andira;S;Via Pavimentada;;;752;CURADO
4766;RUA VENCEDORA;Rua Vencedora;R. Vencedora;P;Via Parcialmente Pavimentada;;;949;ALTO SANTA TEREZINHA
4774;RUA PADRE ROMANO ZUFFERY;Rua Padre Romano Zuffery;R. Padre Romano Zuffery;N;Via Não Pavimentada;;;698;IPUTINGA
4782;RUA DOS ANDRADAS;Rua dos Andradas;R. dos Andradas;N;Via Não Pavimentada;;;175;ENCRUZILHADA
4790;RUA PROFESSOR ANDRADE BEZERRA;Rua Professor Andrade Bezerra;R. Prof Andrade Bezerra;S;Via Pavimentada;;;469;PARNAMIRIM
4804;RUA DR ANDRADE LYRA;Rua Dr Andrade Lyra;R. Dr Andrade Lyra;S;Via Pavimentada;;;221;JORDAO
4804;RUA DR ANDRADE LYRA;Rua Dr Andrade Lyra;R. Dr Andrade Lyra;S;Via Pavimentada;;;230;IBURA
